,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,target,tempo,time_signature,track_href,type,uri,valence
0,0.00887,https://api.spotify.com/v1/audio-analysis/6iajHa34cSiD5s42Cq9miJ,0.706,225947,0.537,6iajHa34cSiD5s42Cq9miJ,0.0,7,0.129,-6.347,1,0.348,1,203.746,4,https://api.spotify.com/v1/tracks/6iajHa34cSiD5s42Cq9miJ,audio_features,spotify:track:6iajHa34cSiD5s42Cq9miJ,0.775
1,0.104,https://api.spotify.com/v1/audio-analysis/4oiAlcisfimXQc1wyAtX9a,0.652,249960,0.621,4oiAlcisfimXQc1wyAtX9a,5.3e-06,9,0.0382,-8.677,0,0.263,1,169.983,4,https://api.spotify.com/v1/tracks/4oiAlcisfimXQc1wyAtX9a,audio_features,spotify:track:4oiAlcisfimXQc1wyAtX9a,0.661
2,0.603,https://api.spotify.com/v1/audio-analysis/3XVBdLihbNbxUwZosxcGuJ,0.609,228707,0.445,3XVBdLihbNbxUwZosxcGuJ,6.77e-06,7,0.104,-9.129,1,0.106,1,118.393,3,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,audio_features,spotify:track:3XVBdLihbNbxUwZosxcGuJ,0.166
3,0.00182,https://api.spotify.com/v1/audio-analysis/0GLUBbX4daHJkT3RQHEOia,0.593,273053,0.68,0GLUBbX4daHJkT3RQHEOia,4.84e-05,7,0.31,-5.556,1,0.335,1,84.547,4,https://api.spotify.com/v1/tracks/0GLUBbX4daHJkT3RQHEOia,audio_features,spotify:track:0GLUBbX4daHJkT3RQHEOia,0.483
4,0.384,https://api.spotify.com/v1/audio-analysis/1yeLSqz8u8ip9NnzjGs7lQ,0.783,229800,0.758,1yeLSqz8u8ip9NnzjGs7lQ,0.0,10,0.0938,-2.663,0,0.151,1,89.434,4,https://api.spotify.com/v1/tracks/1yeLSqz8u8ip9NnzjGs7lQ,audio_features,spotify:track:1yeLSqz8u8ip9NnzjGs7lQ,0.78
5,0.197,https://api.spotify.com/v1/audio-analysis/7rOIWUhSfjWh4E7443PYE8,0.701,258667,0.601,7rOIWUhSfjWh4E7443PYE8,0.0,11,0.0649,-7.678,0,0.153,1,83.433,4,https://api.spotify.com/v1/tracks/7rOIWUhSfjWh4E7443PYE8,audio_features,spotify:track:7rOIWUhSfjWh4E7443PYE8,0.564
6,0.0804,https://api.spotify.com/v1/audio-analysis/09BKt4jvY0KZLwfHfP2EEy,0.548,159787,0.764,09BKt4jvY0KZLwfHfP2EEy,5.47e-05,11,0.0774,-6.586,0,0.104,1,90.027,4,https://api.spotify.com/v1/tracks/09BKt4jvY0KZLwfHfP2EEy,audio_features,spotify:track:09BKt4jvY0KZLwfHfP2EEy,0.661
7,0.164,https://api.spotify.com/v1/audio-analysis/4B9zlmKyr1L2wYOoaSAA31,0.831,251267,0.686,4B9zlmKyr1L2wYOoaSAA31,0.0,7,0.467,-9.796,1,0.102,1,119.97,4,https://api.spotify.com/v1/tracks/4B9zlmKyr1L2wYOoaSAA31,audio_features,spotify:track:4B9zlmKyr1L2wYOoaSAA31,0.583
8,0.265,https://api.spotify.com/v1/audio-analysis/3kgutGd839IOYRl6ekeq6V,0.699,254467,0.668,3kgutGd839IOYRl6ekeq6V,0.0,1,0.141,-5.305,1,0.106,1,83.074,4,https://api.spotify.com/v1/tracks/3kgutGd839IOYRl6ekeq6V,audio_features,spotify:track:3kgutGd839IOYRl6ekeq6V,0.472
9,0.0374,https://api.spotify.com/v1/audio-analysis/4HSAJpNocVNJbwbQvtCMdO,0.933,236480,0.701,4HSAJpNocVNJbwbQvtCMdO,3.74e-05,7,0.144,-5.603,1,0.173,1,112.965,4,https://api.spotify.com/v1/tracks/4HSAJpNocVNJbwbQvtCMdO,audio_features,spotify:track:4HSAJpNocVNJbwbQvtCMdO,0.612
