,danceability,duration_ms,energy,loudness,mode,target,tempo,valence
0,0.706,225947,0.537,-6.347,1,1,203.74599999999998,0.775
1,0.652,249960,0.621,-8.677,0,1,169.983,0.6609999999999999
2,0.609,228707,0.445,-9.129,1,1,118.39299999999999,0.166
3,0.593,273053,0.68,-5.556,1,1,84.54700000000001,0.483
4,0.7829999999999999,229800,0.758,-2.6630000000000003,0,1,89.434,0.78
5,0.701,258667,0.601,-7.678,0,1,83.43299999999999,0.564
6,0.5479999999999999,159787,0.764,-6.586,0,1,90.027,0.6609999999999999
7,0.831,251267,0.6859999999999999,-9.796,1,1,119.97,0.583
8,0.6990000000000001,254467,0.6679999999999999,-5.305,1,1,83.074,0.47200000000000003
9,0.9329999999999999,236480,0.701,-5.603,1,1,112.965,0.612
10,0.927,280680,0.61,-4.738,0,1,105.943,0.675
11,0.653,215867,0.529,-6.481,1,1,67.03,0.609
12,0.727,227667,0.519,-8.427,1,1,95.815,0.462
13,0.602,240000,0.938,-3.378,0,1,168.417,0.562
14,0.826,226293,0.67,-5.559,1,1,74.007,0.794
15,0.7390000000000001,261933,0.9470000000000001,-1.915,0,1,88.009,0.763
16,0.503,262227,0.872,-4.192,1,1,152.364,0.531
17,0.853,283627,0.8109999999999999,-4.926,0,1,114.961,0.9009999999999999
18,0.691,233840,0.389,-10.125,1,1,122.219,0.43700000000000006
19,0.778,261493,0.632,-5.314,1,1,97.92299999999999,0.657
20,0.8809999999999999,265560,0.8270000000000001,-3.612,1,1,95.796,0.503
21,0.406,254493,0.765,-6.444,0,1,101.954,0.43799999999999994
22,0.69,235667,0.5720000000000001,-6.131,1,1,111.919,0.375
23,0.6970000000000001,229413,0.467,-7.5360000000000005,1,1,82.081,0.5720000000000001
24,0.637,218947,0.73,-5.38,0,1,93.867,0.732
25,0.5770000000000001,245480,0.58,-7.056,0,1,125.76899999999999,0.474
26,0.613,285667,0.602,-6.496,0,1,86.32799999999999,0.78
27,0.777,275067,0.835,-3.068,0,1,97.876,0.7909999999999999
28,0.6970000000000001,346467,0.447,-7.497999999999999,0,1,113.03399999999999,0.207
29,0.777,270867,0.764,-5.682,1,1,177.868,0.174
30,0.8490000000000001,227600,0.613,-4.796,1,1,94.75,0.6729999999999999
31,0.843,200200,0.612,-4.71,0,1,93.975,0.7909999999999999
32,0.879,213227,0.73,-4.369,0,1,99.925,0.885
33,0.644,240280,0.746,-4.941,1,1,105.25299999999999,0.355
34,0.665,206773,0.7340000000000001,-4.503,0,1,90.163,0.742
35,0.42,334000,0.46299999999999997,-9.056000000000001,1,1,78.83,0.659
36,0.652,236373,0.602,-5.968999999999999,0,1,96.17,0.728
37,0.628,253267,0.7340000000000001,-4.123,0,1,195.83900000000003,0.631
38,0.92,211400,0.861,-5.435,1,1,97.969,0.718
39,0.563,258667,0.746,-4.832,0,1,186.118,0.598
40,0.667,270907,0.7809999999999999,-4.973,0,1,92.77,0.758
41,0.8109999999999999,184907,0.657,-6.197,1,1,199.958,0.777
42,0.867,225319,0.43200000000000005,-7.466,1,1,94.01700000000001,0.88
43,0.563,324307,0.7509999999999999,-4.325,1,1,85.789,0.48700000000000004
44,0.7070000000000001,234893,0.5379999999999999,-5.263999999999999,1,1,121.73200000000001,0.439
45,0.605,253573,0.614,-6.745,1,1,86.491,0.573
46,0.6559999999999999,266933,0.619,-5.08,0,1,93.98200000000001,0.731
47,0.721,263440,0.723,-7.08,0,1,88.93299999999999,0.7609999999999999
48,0.7090000000000001,296733,0.8909999999999999,-3.552,0,1,99.376,0.511
49,0.8759999999999999,232000,0.71,-6.446000000000001,0,1,121.072,0.828
50,0.7020000000000001,210427,0.89,-3.7939999999999996,1,1,166.115,0.887
51,0.488,272920,0.9540000000000001,-1.584,1,1,202.535,0.596
52,0.914,258093,0.603,-5.683,1,1,98.01700000000001,0.66
53,0.698,250493,0.722,-5.319,0,1,90.116,0.67
54,0.904,298333,0.7090000000000001,-5.894,0,1,101.006,0.963
55,0.887,182813,0.774,-6.108,1,1,113.0,0.826
56,0.7859999999999999,234133,0.511,-6.66,1,1,80.0,0.5870000000000001
57,0.69,329627,0.877,-4.074,0,1,92.165,0.779
58,0.667,239073,0.523,-5.817,1,1,136.54399999999998,0.18
59,0.777,221467,0.8340000000000001,-5.129,0,1,97.527,0.66
60,0.884,263227,0.677,-5.603,1,1,101.868,0.584
61,0.7559999999999999,235187,0.691,-3.718,1,1,104.999,0.632
62,0.825,208500,0.909,-4.0089999999999995,0,1,128.003,0.625
63,0.835,267093,0.7070000000000001,-5.074,1,1,93.955,0.919
64,0.966,228333,0.767,-4.458,1,1,107.06299999999999,0.9109999999999999
65,0.66,268800,0.7070000000000001,-5.757999999999999,1,1,89.279,0.7609999999999999
66,0.9009999999999999,193467,0.72,-2.826,0,1,90.059,0.795
67,0.521,334067,0.625,-7.47,1,1,101.01899999999999,0.136
68,0.655,244827,0.488,-9.17,1,1,91.025,0.7909999999999999
69,0.8909999999999999,267267,0.7140000000000001,-6.055,0,1,100.97200000000001,0.818
70,0.725,289173,0.534,-8.363999999999999,0,1,168.11900000000003,0.621
71,0.607,245063,0.7140000000000001,-6.007000000000001,0,1,96.619,0.8270000000000001
72,0.741,225533,0.759,-5.096,0,1,97.084,0.36200000000000004
73,0.6409999999999999,222027,0.72,-4.3260000000000005,1,1,77.969,0.578
74,0.698,247427,0.922,-3.359,1,1,126.594,0.691
75,0.7929999999999999,269400,0.568,-4.958,1,1,100.005,0.8059999999999999
76,0.531,197277,0.7120000000000001,-4.887,1,1,101.43,0.648
77,0.6759999999999999,215853,0.73,-5.962999999999999,1,1,178.11700000000002,0.489
78,0.9159999999999999,286907,0.568,-5.358,1,1,112.009,0.9540000000000001
79,0.865,205240,0.775,-3.517,0,1,89.905,0.359
80,0.514,254027,0.9109999999999999,-2.0269999999999997,0,1,161.109,0.619
81,0.72,234360,0.755,-6.403,0,1,126.023,0.562
82,0.752,330027,0.925,-3.2880000000000003,1,1,113.52799999999999,0.6920000000000001
83,0.6759999999999999,247040,0.652,-6.846,1,1,91.23100000000001,0.41600000000000004
84,0.932,239293,0.499,-5.957000000000001,0,1,103.04899999999999,0.6970000000000001
85,0.609,208533,0.588,-7.992000000000001,1,1,128.763,0.797
86,0.5820000000000001,270747,0.6509999999999999,-4.971,1,1,171.463,0.191
87,0.653,210200,0.609,-7.519,0,1,95.98200000000001,0.48200000000000004
88,0.547,224427,0.807,-4.083,0,1,79.82300000000001,0.919
89,0.925,214227,0.659,-4.763,1,1,97.01799999999999,0.71
90,0.489,237707,0.6920000000000001,-6.672000000000001,1,1,96.946,0.527
91,0.88,284640,0.816,-6.269,0,1,138.03,0.914
92,0.8,226800,0.9570000000000001,-3.0639999999999996,0,1,98.59200000000001,0.7859999999999999
93,0.769,240627,0.8390000000000001,-4.314,0,1,86.71,0.7020000000000001
94,0.5429999999999999,275373,0.955,-4.415,0,1,82.976,0.716
95,0.7340000000000001,281240,0.861,-5.547999999999999,1,1,92.932,0.879
96,0.778,186040,0.5489999999999999,-6.144,1,1,133.041,0.802
97,0.7440000000000001,308293,0.617,-5.032,1,1,94.999,0.78
98,0.585,221240,0.625,-5.575,1,1,87.055,0.95
99,0.625,311867,0.726,-7.731,0,1,103.98,0.483
100,0.643,223507,0.7170000000000001,-4.876,0,1,90.89299999999999,0.46
101,0.42700000000000005,193733,0.8440000000000001,-4.5969999999999995,0,1,85.346,0.716
102,0.569,316053,0.7440000000000001,-5.757000000000001,0,1,145.063,0.59
103,0.638,207627,0.6990000000000001,-5.54,0,1,92.939,0.66
104,0.435,207000,0.802,-6.871,1,1,84.26700000000001,0.45399999999999996
105,0.759,216707,0.8909999999999999,-2.983,1,1,98.579,0.5870000000000001
106,0.5479999999999999,273733,0.815,-4.388999999999999,0,1,146.934,0.345
107,0.669,253067,0.8290000000000001,-3.801,1,1,118.934,0.61
108,0.769,282493,0.6559999999999999,-6.561,1,1,90.029,0.391
109,0.88,257000,0.7659999999999999,-4.071000000000001,1,1,106.03399999999999,0.6579999999999999
110,0.8009999999999999,250533,0.8809999999999999,-4.656000000000001,1,1,93.73299999999999,0.429
111,0.8540000000000001,291782,0.6920000000000001,-6.625,1,1,101.865,0.753
112,0.866,249800,0.7490000000000001,-3.977,1,1,92.07700000000001,0.8909999999999999
113,0.81,314352,0.7909999999999999,-5.909,1,1,153.067,0.948
114,0.764,276596,0.821,-5.919,1,1,162.519,0.9620000000000001
115,0.797,236520,0.502,-3.925,0,1,106.99700000000001,0.385
116,0.816,247453,0.675,-8.23,1,1,151.444,0.615
117,0.547,205640,0.594,-8.389,1,1,81.9,0.501
118,0.797,211120,0.75,-9.369,1,1,177.87,0.74
119,0.904,226864,0.813,-7.105,0,1,125.461,0.81
120,0.574,267320,0.799,-5.734,1,1,199.804,0.46299999999999997
121,0.6459999999999999,287000,0.812,-3.932,1,1,95.014,0.6940000000000001
122,0.909,229933,0.539,-4.2780000000000005,0,1,90.038,0.8690000000000001
123,0.728,239267,0.826,-3.763,0,1,94.36,0.8340000000000001
